dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context_with_drug_with_symptom_dataset,0,context,4o,True,True,0.043478548526763916,0.5833333333333334,0.5779816513761468,0.5806451612903226,0.9944730027441735,3.0754,313.779,5.203,50.0
2024_gpt4o_context_with_drug_with_symptom_dataset,1,context,4o,True,True,0.03754649683833122,0.5887850467289719,0.5779816513761468,0.5833333333333334,0.9945889537355544,3.1626,305.132,5.059,50.0
2024_gpt4o_context_with_drug_with_symptom_dataset,2,context,4o,True,True,0.04820885509252548,0.6494845360824743,0.5779816513761468,0.6116504854368932,0.9948981563792371,3.0936,311.937,5.172,50.0
2024_gpt4o_context_with_drug_with_symptom_dataset,3,context,4o,True,True,0.041487906128168106,0.5663716814159292,0.5871559633027523,0.5765765765765767,0.9943957020832528,3.1002,311.27,5.161,50.0
2024_gpt4o_context_with_drug_with_symptom_dataset,4,context,4o,True,True,0.047889091074466705,0.5943396226415094,0.5779816513761468,0.5860465116279069,0.9943957020832528,3.0771,313.61,5.2,50.0
2024_gpt4o_context_with_drug_with_symptom_dataset,5,context,4o,True,True,0.041347578167915344,0.6285714285714286,0.6055045871559633,0.6168224299065421,0.9948208557183164,3.0956,311.728,5.169,50.0
2024_gpt4o_context_with_drug_with_symptom_dataset,6,context,4o,True,True,0.04884427413344383,0.5858585858585859,0.5321100917431193,0.5576923076923076,0.9942797510918718,1.7193,561.271,9.306,50.0
2024_gpt4o_context_with_drug_with_symptom_dataset,7,context,4o,True,True,0.04001163691282272,0.4962962962962963,0.6146788990825688,0.5491803278688524,0.9938932477872686,1.7414,554.158,9.188,50.0
2024_gpt4o_context_with_drug_with_symptom_dataset,8,context,4o,True,True,0.040953245013952255,0.6210526315789474,0.5412844036697247,0.5784313725490196,0.9945503034050941,1.7427,553.753,9.181,50.0
2024_gpt4o_context_with_drug_with_symptom_dataset,9,context,4o,True,True,0.0509052611887455,0.5779816513761468,0.5779816513761468,0.5779816513761468,0.9941638001004909,1.7501,551.39,9.142,50.0
